rank,id,title,rating_count
81,442615,L'Empire contre-attaque,2734
82,448558,The Thing,2731
83,10536888,Night Call,2724
84,447001,Les Affranchis,2719
85,454350,The Big Lebowski,2715
86,415454,The Truman Show,2714
87,14954623,Spider-Man - New Generation,2712
88,376439,Voyage au bout de l'enfer,2710
89,467266,Taxi Driver,2710
90,23227814,3 Billboards - Les Panneaux de la vengeance,2710
91,494347,Jurassic Park,2710
92,493364,Gran Torino,2709
93,9008787,Avengers : Infinity War,2708
94,472537,Coco,2708
95,414626,Les Évadés,2706
96,497324,Barry Lyndon,2705
97,362143,Deadpool,2704
98,402567,Prometheus,2703
99,453901,Memories of Murder,2698
100,397793,Dallas Buyers Club,2697
